회사명,채용공고사항,링크,지역,경력,학력,월급
(주)로이드케이,빅데이터 솔루션 데이터 엔지니어 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49859804&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 수정구,경력 5~13년,초대졸↑,정규직
(주)누리미디어,[개발운영] 시니어 AI 개발자 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49871867&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 마포구,경력 7~10년,대졸↑,정규직
(주)라이온코리아,"AI 평가자 (한국어,영어,중국어,일본어,베트남,태국어,아랍어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49996291&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 금천구,경력무관,대졸↑,프리랜서
(주)트래블월렛,백엔드 개발자 - 서비스 (Senior),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49994390&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~7년,학력무관,정규직
(주)윕스,(주)윕스 온라인/인프라 서비스 개발자 모집(신규/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49996785&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 마포구,신입·경력,초대졸↑,정규직
(주)하이콘소프트,[석/박사] Ai연구소 연구개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50016937&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,경력무관,석사↑,정규직
어니컴(주),[경력직] AI 모델/AI agent 서비스 검증(SQA) 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50044025&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력5년↑,학력무관,정규직
(주)엠폴,"(주)엠폴 연구개발부문 채용(JAVA, AI)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50074654&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,경력 5~15년,학력무관,정규직
(주)코트라스,코트라스 프로그램 개발 경력직 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49862821&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,대구 북구,경력 3~15년,학력무관,정규직
(주)렉스코드,++(재택가능)렉스코드 AI 개발자 채용++,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49869658&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력무관,학력무관,정규직
알엔에이애널리틱스(주),[RNA] Actuarial AI Transformation Specialist,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49946301&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 종로구,신입·경력,대졸↑,계약직·인턴직
티맵모빌리티(주),[티맵모빌리티] Product Manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49952344&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력5년↑,초대졸↑,정규직
콘센트릭스서비스코리아(유),[Catalyst] 생성형 AI Python Fullstack 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49952762&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력5년↑,학력무관,정규직
(주)이바이오젠,[경력] NGS 바이오인포메틱스(생물정보) 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49977484&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 성동구,경력 2~8년,석사↑,정규직
티맵모빌리티(주),[티맵모빌리티] Data 조직 (리더),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50014607&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력10년↑,초대졸↑,정규직
아일리스프런티어(주),AI 서비스 - 자연어처리(NLP)/Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49868802&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 종로구,경력 1~3년,학력무관,정규직
(주)투라인코드,Backend 개발자 모집 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50002621&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력3년↑,학력무관,정규직
(주)플랜아이,[플랜아이] Java & AI 개발 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49998279&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,대전 유성구,경력3년↑,학력무관,정규직
(주)스마트엠투엠,스마트엠투엠 AI 서비스 및 AI 자율제조 분야 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50055132&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,부산 해운대구,경력무관,대졸↑,정규직
(주)필라넷,AI 어플리케이션 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50064944&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~15년,학력무관,정규직
(주)베스텔라랩,프롬프트 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50087731&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기전체,경력 2~15년,초대졸↑,정규직
(주)알고랩,[알고랩] ML 엔지니어(경력 2년 이상 또는 석사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50084492&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 2~8년,대졸↑,정규직·계약직
베스핀글로벌(주),SaaS 서비스 운영 담당자 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49821460&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력7년↑,대졸↑,정규직
(주)클루커스,[클루커스] GEN AI Engineer 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49693190&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력2년↑,대졸↑,정규직
(주)랩큐,"[정규직, 계약직, 인턴][신입, 경력]AI 개발자/ML 엔지니어 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49733001&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 영등포구,경력무관,초대졸↑,정규직·계약직
(주)브레인벤쳐스,Multimodal AI 연구개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49732754&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 수정구,신입·경력,대졸↑,정규직
(주)디엑스솔루션즈,웹 디자인 및 마케팅 담당자 채용(경영지원팀),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49769306&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경남 창원시,경력무관,대졸↑,정규직
(주)디엑스솔루션즈,[AI연구소] 인공지능 프로젝트 PM 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49770992&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경남 창원시,경력무관,대졸↑,정규직
(주)네이블,네이블 2025년 공개채용 DT솔루션사업부 AI개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49820148&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력무관,초대졸↑,정규직
베스핀글로벌(주),백엔드 개발자 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49821172&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력5년↑,대졸↑,정규직
베스핀글로벌(주),생성형 AI 개발자 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49824438&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력5년↑,대졸↑,정규직
(주)브레인벤쳐스,Multimodal AI 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49887822&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 수정구,신입·경력,대졸↑,정규직
베스핀글로벌(주),Presales 및 Poc 담당자 영입(AI TS팀),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49922512&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력7년↑,대졸↑,정규직
베스핀글로벌(주),프롬프트 및 텍스트 임베딩 모델 엔지니어 담당자 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50005153&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력3년↑,대졸↑,정규직
베스핀글로벌(주),생성형 AI 프로젝트 제안 및 수행 PM 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50034851&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력10년↑,대졸↑,정규직
베스핀글로벌(주),AI 플랫폼 프로젝트 제안 및 수행 PM 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50043153&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력10년↑,대졸↑,정규직
디딤365(주),"생성형AI 운영관리툴, 백앤드 웹개발자 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49758190&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 구로구,경력3년↑,대졸↑,정규직
(주)스마트프로,언리얼 엔진 개발자 / AI분야 경력자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49821097&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,대전 유성구,경력5년↑,석사↑,정규직
디딤365(주),"생성형AI 운영관리툴, 프론트 웹개발자 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49757987&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 구로구,경력3년↑,대졸↑,정규직
(주)데이타몬드,[데이터엔지니어] AI 에이전트 백엔드 개발자를 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49870018&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 마포구,경력5년↑,대졸↑,정규직·파트
㈜온더아이티,(주)온더아이티 신입&경력 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50006792&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력무관,대졸↑,정규직
(주)인포시즈,AI Engineer 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50015378&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,대졸↑,정규직
(주)인포시즈,[병역특례/보충역] AI Engineer 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50015424&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,대졸↑,정규직
디딤365(주),AI 소프트웨어 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50090053&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 구로구,경력 5~7년,초대졸↑,정규직
(주)바이브온코퍼레이션,"각 부문 경력채용(백엔드,인공지능 개발,기획,마케팅)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49685720&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 마포구,경력 3~20년,학력무관,정규직
(주)마음에이아이,(주)마음AI 인프라 팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49718526&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 수정구,경력 5~10년,학력무관,정규직
(주)위버스브레인,[위버스브레인] B2B사업 백엔드개발자 모집 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49921529&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 구로구,경력 5~15년,학력무관,정규직
나무기술(주),Cloud 컨설팅&프리세일즈_(15~18년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49875401&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,경력,초대졸↑,정규직
나무기술(주),Cloud 컨설팅&프리세일즈_(10~15년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49875379&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,경력,초대졸↑,정규직
(주)스피링크,AI학습데이터 설계/구축 PM(대전 상주 프로젝트 후 재택 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49925456&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,대전 유성구,경력2년↑,대졸↑,정규직
(주)에이아이더뉴트리진,"생성형 AI분석가 모집(팀장, PM, PL급)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49994571&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력3년↑,대졸↑,정규직
(주)지텍에이치,[삼성전자 서울 서초구]SR사업부 內 베트남어 번역직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49973809&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력무관,대졸↑,계약직·파견직
(주)폴라리스쓰리디,서비스 기획자 모집 (서울),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49960653&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 용산구,경력 3~7년,초대졸↑,정규직·계약직
(주)아이스크림아트,AI연구팀장 경력7~10년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50027898&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 7~10년,대졸↑,정규직
(주)아이스크림아트,AI연구팀장 경력10년이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50027892&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력10년↑,대졸↑,정규직
법무법인와이케이,[국내TOP7로펌/법무법인YK] IT개발팀 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49795178&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력,학력무관,정규직
(주)언에이아이,기술부 번역 검수 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50053582&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서대문구,경력 3~5년,대졸↑,정규직
(주)키위바인,[카카오 자회사] 풀스택 개발자 채용(경력 7년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50087070&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 금천구,경력7년↑,학력무관,계약직
텔레픽스(주),[AI연구팀]NLP딥러닝 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49763144&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 영등포구,경력2년↑,학력무관,정규직
(주)포티투마루,[포티투마루] AI 엔지니어 (경력2년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49813223&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력2년↑,학력무관,정규직
(주)카카오뱅크,[카카오뱅크] AML 데이터 분석 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49865814&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력 3~20년,학력무관,정규직
쿤텍(주),[병역특례] 보안 SW 개발 전문연구요원 채용 공고의 건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49986640&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 수정구,경력무관,석사↑,정규직·전문연구요원
(주)알체라,[알체라] AI 학습용 Data 구축 사업 PM 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50016766&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,대졸↑,정규직
(주)딥엑스,[㈜딥엑스][AI반도체] Software Engineer 상시모집(11개 포지션),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50039742&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력,대졸↑,정규직
(주)좋은정보기술,인공지능(AI) 및 빅데이터 전문가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50076500&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,전북 전주시 덕진구,신입·경력,초대졸↑,정규직
(주)디노티시아,[전문연구요원] Compiler Engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50091924&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,석사↑,전문연구요원·병역특례
(주)디노티시아,[전문연구요원]  Device Driver Engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50092306&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,석사↑,전문연구요원·병역특례
(주)디노티시아,[전문연구요원]  Firmware Engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50092259&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,석사↑,전문연구요원·병역특례
(주)디노티시아,[전문연구요원] Runtime Engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50092211&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,석사↑,전문연구요원·병역특례
(주)프리윌린,[프리윌린] 개발팀 PB 워킹그룹 백엔드 개발자 (8년차 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49788374&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 관악구,경력8년↑,학력무관,정규직
(주)플라잎,[플라잎/판교]  Machine Learning Engineer 경력 (전문연구가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49812293&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력3년↑,대졸↑,정규직
(주)스피링크,[인재풀]인공지능 텍스트 데이터 구축 Crew 상시 모집(프리랜서),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49846661&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력무관,학력무관,프리랜서
(주)스카이월드와이드,프론트엔드 개발자 (리더급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49880966&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 7~20년,학력무관,정규직
(주)스카이월드와이드,백엔드 개발자 (리더급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49880805&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 7~20년,학력무관,정규직
(주)스카이월드와이드,데이터 사이언티스트(리더급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49881165&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 7~20년,학력무관,정규직
(주)스카이월드와이드,데이터 사이언티스트(팀원급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49881178&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~6년,학력무관,정규직
(주)스카이월드와이드,프론트엔드 개발자 (팀원급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49880950&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~7년,학력무관,정규직
(주)스카이월드와이드,백엔드 개발자 (팀원급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49880810&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~10년,학력무관,정규직
(주)퀀텀에이아이,[AI SaaS 기업] 인공지능 R&D 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49991002&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력무관,대졸↑,정규직
(주)에스투더블유,Senior Threat Analyst (시니어 위협 분석가),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49992817&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기전체,경력 3~10년,대졸↑,정규직
아미쿠스렉스 주식회사,[로폼-개발팀] AI 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50017812&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 성동구,경력3년↑,학력무관,정규직·계약직
(주)스피링크,[TEXTNET] AI 학습 데이터 설계/구축 PL(프로젝트 리더),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50075233&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,대전 유성구,경력1년↑,대졸↑,계약직
(주)인공지능팩토리,IT 개발자 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50075553&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력 1~5년,대졸↑,정규직
몬드리안에이아이(주),AI 리서치 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50080662&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 영등포구,경력무관,대졸↑,정규직
(주)스피링크,[TEXTNET] 인사 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50087224&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력5년↑,대졸↑,정규직
(주)에이아이세스,지식기반 AI 챗봇 주니어급 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49868685&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,신입·경력,학력무관,정규직
(주)에이아이세스,딥러닝 음성인식 개발자 주니어급 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49868696&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,신입·경력,학력무관,정규직
(주)클래스유,[클래스유] 프론트엔드 엔지니어(F.E),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49820921&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력3년↑,대졸↑,정규직
